Tailandia ; 2448 ; 2448 ; 3987 ; 6364 ; 14687 ; 4336
Tayikistan ; 489 ; 442 ; 675 ; 970 ; 1063 ; 186
Territorio Palestino Ocupado ; 392 ; 366 ; 514 ; 565 ; 652 ; 107
Timor-Leste ; 122 ; 101 ; 132 ; 155 ; 162 ; 32
Togo ; 517 ; 479 ; 685 ; 852 ; 1042 ; 198
Tonga ; 6 ; 7 ; 10 ; 11 ; 15 ; 4
Trinidad y Tabago ; 49 ; 48 ; 73 ; 134 ; 291 ; 67
Tunez ; 435 ; 414 ; 642 ; 1186 ; 2220 ; 577
Turkmenistan ; 270 ; 259 ; 397 ; 650 ; 975 ; 160
Turquia ; 3279 ; 3359 ; 5438 ; 8077 ; 16233 ; 3678
Tuvalu ; 1 ; 1 ; 1 ; 1 ; 2 ; 0
Ucrania ; 1237 ; 1148 ; 1634 ; 3622 ; 9230 ; 3489
Uganda ; 3733 ; 3177 ; 4011 ; 4289 ; 4090 ; 635
Uruguay ; 123 ; 123 ; 206 ; 309 ; 628 ; 268
Uzbekistan ; 1414 ; 1296 ; 2150 ; 3653 ; 5214 ; 943
Vanuatu ; 18 ; 17 ; 25 ; 32 ; 40 ; 8
Venezuela (Republica Bolivariana de) ; 1502 ; 1502 ; 2316 ; 3286 ; 5601 ; 1471
Viet Nam ; 3652 ; 3652 ; 6181 ; 10488 ; 18448 ; 4027
Yemen ; 2170 ; 1975 ; 2698 ; 3310 ; 3366 ; 529
Zambia ; 1288 ; 1138 ; 1498 ; 1633 ; 1633 ; 315
Zimbabwe ; 926 ; 856 ; 1291 ; 1922 ; 1543 ; 323
